Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day,Buses: Total Estimated Ridership,Buses: % of Comparable Pre-Pandemic Day,LIRR: Total Estimated Ridership,LIRR: % of Comparable Pre-Pandemic Day,Metro-North: Total Estimated Ridership,Metro-North: % of Comparable Pre-Pandemic Day,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % of Comparable Pre-Pandemic Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % of Comparable Pre-Pandemic Day,Staten Island Railway: Total Estimated Ridership,Staten Island Railway: % of Comparable Pre-Pandemic Day
02/01/2022,2635083,0.49,1127084,0.52,135255,0.45,111424,0.41,20357,0.69,804390,0.91,4993,0.31
02/02/2022,2940152,0.54,1314898,0.61,140059,0.46,110996,0.41,22427,0.76,846701,0.96,5830,0.36
02/03/2022,2914198,0.54,1304726,0.61,126901,0.42,104093,0.39,22325,0.76,853193,0.97,5750,0.36
02/04/2022,2725725,0.5,1176367,0.55,117899,0.39,94290,0.35,18557,0.63,781068,0.88,5072,0.31
02/05/2022,1792780,0.63,726750,0.57,61201,0.65,61496,0.47,11377,0.7,775134,0.93,1835,0.43
02/06/2022,1323892,0.6,558211,0.57,51472,0.66,48395,0.53,10621,0.63,744779,0.99,1388,0.49
02/07/2022,2784230,0.51,1297024,0.6,136455,0.45,111297,0.41,21120,0.72,809094,0.92,5711,0.35
02/08/2022,3016648,0.56,1387432,0.64,141653,0.47,119190,0.44,22667,0.77,851665,0.96,6254,0.39
02/09/2022,3088775,0.57,1421706,0.66,143673,0.47,115341,0.43,23863,0.81,868057,0.98,6297,0.39
02/10/2022,3112489,0.57,1423775,0.66,143062,0.47,115707,0.43,23341,0.79,905812,1.03,6362,0.39
02/11/2022,3015472,0.56,1348189,0.63,131038,0.43,110674,0.41,22608,0.77,939270,1.06,5570,0.34
02/12/2022,2026308,0.71,820629,0.65,71709,0.77,71813,0.55,13376,0.82,867255,1.04,2295,0.54
02/13/2022,1349864,0.62,510307,0.52,50534,0.65,46395,0.51,10013,0.59,655107,0.87,1322,0.47
02/14/2022,2907825,0.54,1272100,0.59,142507,0.47,113260,0.42,20812,0.71,862473,0.98,5803,0.36
02/15/2022,3030742,0.56,1340123,0.62,146607,0.48,119034,0.44,21922,0.74,873240,0.99,6447,0.4
02/16/2022,3100639,0.57,1406714,0.65,140431,0.46,115325,0.43,23513,0.8,875377,0.99,6337,0.39
02/17/2022,3109956,0.57,1408571,0.65,141226,0.47,115718,0.43,23713,0.81,911310,1.03,6527,0.4
02/18/2022,2953785,0.54,1285978,0.6,129403,0.43,112030,0.42,21470,0.73,947650,1.07,5677,0.35
02/19/2022,1792136,0.62,723602,0.57,64696,0.69,66545,0.51,12171,0.75,813140,0.98,2108,0.49
02/20/2022,1477125,0.67,571789,0.59,55015,0.7,54863,0.6,11017,0.65,768971,1.02,1517,0.54
02/21/2022,1942267,0.89,873961,0.89,109882,1.41,63892,0.7,12500,0.42,816227,1.08,2781,0.99
02/22/2022,2669508,0.49,1143526,0.53,135406,0.45,112764,0.42,19233,0.65,846877,0.96,5767,0.36
02/23/2022,2894245,0.53,1247209,0.58,140229,0.46,119188,0.44,23807,0.81,892767,1.01,6116,0.38
02/24/2022,2858146,0.53,1196924,0.56,132496,0.44,110395,0.41,21868,0.74,911720,1.03,5879,0.36
02/25/2022,2575630,0.47,1027563,0.48,114658,0.38,90953,0.34,18740,0.64,794852,0.9,4544,0.28
02/26/2022,1824833,0.64,775358,0.61,71783,0.77,61573,0.47,12226,0.75,847294,1.02,2012,0.47
02/27/2022,1403227,0.64,604646,0.62,62913,0.81,51604,0.57,11337,0.67,802377,1.06,1523,0.54
02/28/2022,2915786,0.54,1362855,0.63,134902,0.45,118572,0.44,21929,0.75,859177,0.97,6170,0.38
03/01/2022,3138181,0.56,1435834,0.64,165769,0.53,150787,0.55,22944,0.77,873348,0.95,6655,0.42
03/02/2022,3208166,0.58,1463263,0.65,159238,0.51,140945,0.51,24289,0.82,896503,0.97,6680,0.42
03/03/2022,3207495,0.58,1434851,0.64,152883,0.49,132506,0.48,23800,0.8,923154,1,6674,0.42
03/04/2022,3077537,0.55,1363159,0.61,145518,0.46,125143,0.45,22821,0.77,957694,1.04,5807,0.36
03/05/2022,1955535,0.64,812774,0.61,69010,0.64,70427,0.52,13269,0.78,865292,0.99,2116,0.42
03/06/2022,1444501,0.63,600501,0.6,53034,0.61,52874,0.56,12557,0.71,787598,0.98,1550,0.49
03/07/2022,2980920,0.54,1395540,0.62,153907,0.49,129784,0.47,22465,0.76,861409,0.93,6161,0.39
03/08/2022,3244473,0.58,1456451,0.65,158652,0.51,138811,0.5,24076,0.81,894132,0.97,6923,0.43
03/09/2022,3113559,0.56,1338822,0.6,153393,0.49,129056,0.47,23477,0.79,832720,0.9,6200,0.39
03/10/2022,3339363,0.6,1476288,0.66,163931,0.52,140107,0.51,24515,0.82,945191,1.03,6914,0.43
03/11/2022,3195956,0.57,1419371,0.63,158985,0.51,135371,0.49,23736,0.8,986555,1.07,6150,0.39
03/12/2022,1663893,0.54,637601,0.48,51679,0.48,59927,0.44,10655,0.63,669502,0.77,1748,0.35
03/13/2022,1479406,0.65,590753,0.59,59964,0.69,57548,0.61,11491,0.65,792377,0.98,1524,0.48
03/14/2022,3008800,0.54,1406578,0.63,159962,0.51,134093,0.49,22480,0.76,879699,0.95,6416,0.4
03/15/2022,3275906,0.59,1454522,0.65,171406,0.55,146786,0.53,24272,0.82,906028,0.98,7287,0.46
03/16/2022,3332335,0.6,1476356,0.66,168768,0.54,145085,0.53,25305,0.85,914284,0.99,7009,0.44
03/17/2022,3175784,0.57,1350810,0.6,166884,0.53,135727,0.49,22946,0.77,888875,0.96,6768,0.42
03/18/2022,3275433,0.59,1402806,0.63,163169,0.52,137528,0.5,24019,0.81,978491,1.06,6288,0.39
03/19/2022,2001839,0.65,820933,0.62,74087,0.69,73974,0.54,12877,0.76,872810,1,2050,0.4
03/20/2022,1656673,0.72,628693,0.63,67551,0.78,63818,0.68,12736,0.72,879711,1.09,1722,0.55
03/21/2022,3034759,0.55,1418900,0.63,165487,0.53,134182,0.49,22229,0.75,880846,0.96,6367,0.4
03/22/2022,3276940,0.59,1471299,0.66,168328,0.54,144765,0.53,23948,0.81,891089,0.97,7082,0.44
03/23/2022,3275708,0.59,1438665,0.64,161202,0.51,138873,0.5,24574,0.83,891509,0.97,6540,0.41
03/24/2022,3212181,0.58,1373850,0.61,162392,0.52,134129,0.49,22998,0.77,900384,0.98,6513,0.41
03/25/2022,3218970,0.58,1397899,0.62,158528,0.51,133368,0.48,23274,0.78,967743,1.05,6075,0.38
03/26/2022,2024596,0.66,783499,0.59,71809,0.67,73933,0.54,13208,0.78,875353,1.01,2154,0.43
03/27/2022,1534056,0.67,628313,0.63,64950,0.75,58044,0.62,11809,0.67,830360,1.03,1602,0.51
03/28/2022,2989874,0.54,1336330,0.6,153222,0.49,130886,0.47,22114,0.74,868259,0.94,6096,0.38
03/29/2022,3291883,0.59,1430099,0.64,163218,0.52,143870,0.52,23981,0.81,886086,0.96,6900,0.43
03/30/2022,3336073,0.6,1465351,0.65,164882,0.53,143216,0.52,24620,0.83,913063,0.99,6920,0.43
03/31/2022,3323135,0.6,1450363,0.65,164074,0.52,139602,0.51,24308,0.82,941530,1.02,6890,0.43
04/01/2022,3237107,0.58,1411421,0.65,145251,0.47,120557,0.42,24017,0.83,972802,1.03,5972,0.37
04/02/2022,2128435,0.67,879513,0.66,77205,0.68,80471,0.54,14382,0.86,893814,0.98,2484,0.49
04/03/2022,1463932,0.6,607152,0.61,58819,0.64,53761,0.52,12947,0.69,790600,0.91,1419,0.43
04/04/2022,3127667,0.56,1447820,0.66,159541,0.51,135920,0.47,23746,0.82,899510,0.96,6676,0.41
04/05/2022,3356454,0.6,1484961,0.68,170140,0.55,150671,0.53,24873,0.86,904813,0.96,7089,0.44
04/06/2022,3311547,0.59,1403198,0.64,163830,0.53,142810,0.5,25103,0.87,890470,0.95,6569,0.4
04/07/2022,3307076,0.59,1379678,0.63,161276,0.52,140249,0.49,24107,0.83,901454,0.96,6636,0.41
04/08/2022,3347754,0.6,1443367,0.66,160905,0.52,140791,0.49,24488,0.85,998348,1.06,6342,0.39
04/09/2022,2190396,0.69,868945,0.65,81562,0.71,86611,0.58,13969,0.84,897690,0.98,66,0.01
04/10/2022,1707748,0.7,667662,0.67,63204,0.69,66112,0.64,13935,0.75,850153,0.98,13,0
04/11/2022,3205728,0.57,1433226,0.66,161131,0.52,140224,0.49,23569,0.81,901316,0.96,6354,0.39
04/12/2022,3078069,0.55,1496004,0.68,172294,0.56,149369,0.52,25286,0.87,936334,1,7099,0.44
04/13/2022,3220964,0.58,1495891,0.68,163448,0.53,147043,0.51,25847,0.89,949712,1.01,6593,0.41
04/14/2022,3297697,0.59,1438990,0.66,162946,0.52,144335,0.5,25073,0.87,982717,1.04,6381,0.39
04/15/2022,2761532,0.5,1137728,0.52,166068,0.53,140217,0.49,20908,0.72,973156,1.03,4728,0.29
04/16/2022,1986306,0.63,830874,0.62,89011,0.78,83725,0.56,13413,0.8,885536,0.97,2133,0.42
04/17/2022,1512633,0.62,596619,0.6,71258,0.78,71704,0.7,14704,0.79,845418,0.98,1640,0.5
04/18/2022,2676254,0.48,1145261,0.52,154315,0.5,139151,0.49,20245,0.7,901207,0.96,5209,0.32
04/19/2022,2962130,0.53,1189960,0.54,168354,0.54,151518,0.53,22359,0.77,895086,0.95,5841,0.36
04/20/2022,3098046,0.56,1265823,0.58,171730,0.55,155674,0.54,24212,0.84,942383,1,6097,0.38
04/21/2022,3033422,0.54,1231047,0.56,165823,0.53,147535,0.51,23239,0.8,920202,0.98,5738,0.35
04/22/2022,2985684,0.54,1217380,0.56,157943,0.51,145606,0.51,22298,0.77,935779,0.99,5340,0.33
04/23/2022,2109188,0.67,844146,0.63,79436,0.7,89804,0.6,13459,0.81,907580,0.99,59,0.01
04/24/2022,1655860,0.68,648591,0.65,64842,0.71,67580,0.66,12927,0.69,875218,1.01,3,0
04/25/2022,3026541,0.54,1415638,0.65,159569,0.51,138979,0.48,22370,0.77,883942,0.94,6322,0.39
04/26/2022,3281657,0.59,1453452,0.66,172171,0.55,153893,0.54,23800,0.82,897493,0.95,7024,0.43
04/27/2022,3432282,0.62,1500437,0.69,172613,0.56,153109,0.53,25229,0.87,934481,0.99,6903,0.43
04/28/2022,3404938,0.61,1468093,0.67,167300,0.54,146321,0.51,24321,0.84,968651,1.03,6765,0.42
04/29/2022,3257634,0.58,1429909,0.65,164944,0.53,136881,0.48,23421,0.81,994415,1.06,5900,0.36
04/30/2022,2108746,0.67,884540,0.66,82887,0.73,82838,0.56,14223,0.85,938739,1.03,2123,0.41
05/01/2022,1683953,0.7,676070,0.7,64630,0.66,62502,0.6,12976,0.76,870826,1.02,2694,0.77
05/02/2022,2732825,0.48,1176867,0.52,146394,0.46,126784,0.44,21695,0.74,883276,0.92,5425,0.31
05/03/2022,3402882,0.6,1500109,0.66,177868,0.56,155261,0.54,24680,0.84,929868,0.97,7400,0.43
05/04/2022,3364902,0.59,1465639,0.64,168539,0.53,147078,0.51,25462,0.87,921590,0.96,6747,0.39
05/05/2022,3502522,0.61,1523580,0.67,174640,0.55,150087,0.52,25903,0.88,982930,1.02,7061,0.41
05/06/2022,3190556,0.56,1353750,0.6,154325,0.48,129417,0.45,23411,0.8,953902,0.99,5729,0.33
05/07/2022,1842808,0.57,706551,0.51,72948,0.62,68612,0.46,13033,0.75,841086,0.88,1523,0.31
05/08/2022,1582133,0.66,630228,0.65,73703,0.76,73027,0.7,15375,0.9,891361,1.05,1449,0.41
05/09/2022,3114506,0.54,1428758,0.63,163741,0.51,140940,0.49,22008,0.75,917036,0.95,6564,0.38
05/10/2022,3412902,0.6,1504314,0.66,175823,0.55,158627,0.55,24148,0.82,933451,0.97,7176,0.41
05/11/2022,3440378,0.6,1514922,0.67,178061,0.56,156792,0.55,25548,0.87,948266,0.99,7159,0.41
05/12/2022,3430104,0.6,1495220,0.66,169543,0.53,149204,0.52,25158,0.86,981139,1.02,6866,0.39
05/13/2022,3252002,0.57,1410923,0.62,164843,0.52,140065,0.49,23539,0.8,998394,1.04,6050,0.35
05/14/2022,2149046,0.67,840921,0.6,89636,0.76,86652,0.58,13580,0.78,918398,0.96,69,0.01
05/15/2022,1760359,0.74,692876,0.72,76052,0.78,69705,0.67,13379,0.79,908702,1.07,5,0
05/16/2022,3080043,0.54,1396300,0.61,163431,0.51,140702,0.49,22187,0.75,898690,0.93,5996,0.34
05/17/2022,3536021,0.62,1519740,0.67,182683,0.57,162082,0.57,24353,0.83,951399,0.99,7259,0.42
05/18/2022,3605606,0.63,1511142,0.66,182181,0.57,161135,0.56,25365,0.86,982156,1.02,6816,0.39
05/19/2022,3467327,0.61,1426027,0.63,172517,0.54,149985,0.52,24271,0.83,983011,1.02,6790,0.39
05/20/2022,3271914,0.57,1396732,0.61,175666,0.55,146403,0.51,23767,0.81,1011794,1.05,6040,0.35
05/21/2022,2324245,0.72,883795,0.63,94322,0.8,92552,0.61,14985,0.87,983575,1.03,2530,0.52
05/22/2022,1760638,0.74,683500,0.71,78635,0.81,72063,0.69,13279,0.78,920057,1.08,1863,0.53
05/23/2022,3111755,0.54,1431781,0.63,170546,0.53,151349,0.53,22696,0.77,943933,0.98,6356,0.37
05/24/2022,3378506,0.59,1488152,0.65,182570,0.57,163943,0.57,24560,0.84,942307,0.98,7023,0.4
05/25/2022,3426530,0.6,1493506,0.66,178124,0.56,158814,0.55,25418,0.86,959442,1,6862,0.39
05/26/2022,3341059,0.58,1464696,0.64,176469,0.55,148011,0.52,24866,0.85,1001574,1.04,6549,0.38
05/27/2022,3031130,0.53,1353398,0.6,167840,0.53,135294,0.47,22894,0.78,975898,1.01,5737,0.33
05/28/2022,1872775,0.58,788135,0.56,91250,0.77,77192,0.51,12805,0.74,833464,0.87,2191,0.45
05/29/2022,1755236,0.73,701173,0.73,84784,0.87,76982,0.74,14490,0.85,891666,1.05,2276,0.65
05/30/2022,1694970,0.71,755616,0.78,80533,0.83,68206,0.66,10771,0.37,839398,0.98,2251,0.64
05/31/2022,3176109,0.56,1426470,0.63,184088,0.58,163018,0.57,23778,0.81,968335,1.01,6634,0.38
06/01/2022,3381297,0.6,1465383,0.68,178742,0.54,159050,0.54,25586,0.87,943747,0.96,7084,0.44
06/02/2022,3351902,0.6,1433303,0.67,170537,0.51,151492,0.51,24764,0.85,959324,0.98,6783,0.42
06/03/2022,3283271,0.59,1431042,0.67,174500,0.52,153744,0.52,24838,0.85,1002106,1.02,6178,0.38
06/04/2022,2178024,0.68,904623,0.65,93431,0.76,92199,0.58,14409,0.83,957009,0.97,1844,0.36
06/05/2022,1724983,0.66,691644,0.64,75675,0.77,74005,0.68,13955,0.77,865693,0.94,1361,0.35
06/06/2022,3092181,0.55,1411725,0.66,167062,0.5,148152,0.5,22794,0.78,892799,0.91,6552,0.4
06/07/2022,3392224,0.6,1440940,0.67,185736,0.56,163756,0.55,25256,0.86,940766,0.96,7169,0.44
06/08/2022,3492805,0.62,1496144,0.7,181126,0.54,162417,0.55,26058,0.89,958676,0.97,7114,0.44
06/09/2022,3297157,0.59,1333103,0.62,179521,0.54,157460,0.53,25135,0.86,975009,0.99,6430,0.4
06/10/2022,3376125,0.6,1435660,0.67,187819,0.56,159223,0.54,25437,0.87,1028117,1.05,6304,0.39
06/11/2022,2231451,0.69,870550,0.62,117891,0.96,95108,0.6,14776,0.85,961805,0.98,1835,0.36
06/12/2022,1674607,0.64,626471,0.58,80792,0.82,74580,0.68,13440,0.74,883990,0.96,1209,0.31
06/13/2022,3168681,0.56,1440429,0.67,174264,0.52,150375,0.51,23697,0.81,943626,0.96,6608,0.41
06/14/2022,3494822,0.62,1493761,0.69,191198,0.57,174340,0.59,25372,0.87,954427,0.97,7276,0.45
06/15/2022,3526802,0.63,1478668,0.69,192593,0.58,169462,0.57,26904,0.92,965644,0.98,7153,0.44
06/16/2022,3409624,0.61,1397317,0.65,190212,0.57,162513,0.55,25856,0.88,993952,1.01,6720,0.41
06/17/2022,3247379,0.58,1397243,0.65,187179,0.56,148590,0.5,24338,0.83,1036376,1.05,6036,0.37
06/18/2022,2186635,0.68,884050,0.63,106091,0.86,94130,0.59,15136,0.87,987511,1,2613,0.52
06/19/2022,1725762,0.66,693231,0.64,90581,0.92,80654,0.74,15622,0.86,946443,1.02,1903,0.49
06/20/2022,2460659,0.94,1077190,0.99,167670,1.7,138080,1.27,15440,0.53,942148,1.02,4009,1.03
06/21/2022,3339793,0.6,1408052,0.66,190339,0.57,172400,0.58,25299,0.86,951906,0.97,7183,0.44
06/22/2022,3357113,0.6,1361456,0.63,178850,0.54,164196,0.56,25774,0.88,937068,0.95,6910,0.43
06/23/2022,3407485,0.61,1382605,0.64,188546,0.57,169144,0.57,25286,0.86,1004103,1.02,6716,0.41
06/24/2022,3296412,0.59,1331442,0.62,187818,0.56,161647,0.55,24414,0.83,1035312,1.05,6066,0.37
06/25/2022,2286963,0.71,888953,0.63,106000,0.86,102466,0.65,15274,0.88,994834,1.01,50,0.01
06/26/2022,2011977,0.77,696910,0.64,102452,1.04,99103,0.91,14574,0.81,962670,1.04,618,0.16
06/27/2022,2932598,0.52,1279403,0.6,171627,0.52,149284,0.5,22331,0.76,928436,0.94,6260,0.39
06/28/2022,3248338,0.58,1328144,0.62,199956,0.6,174878,0.59,24179,0.83,960666,0.98,6903,0.43
06/29/2022,3249261,0.58,1325530,0.62,191855,0.58,169146,0.57,25392,0.87,977984,0.99,6792,0.42
06/30/2022,3151572,0.56,1300241,0.6,191868,0.58,158265,0.54,24651,0.84,1011864,1.03,6407,0.4
07/01/2022,2827549,0.54,1221837,0.59,151245,0.48,117791,0.42,23983,0.85,998259,1.04,5291,0.38
07/02/2022,1847093,0.65,827668,0.61,84481,0.66,75179,0.49,12878,0.81,823425,0.89,2042,0.4
07/03/2022,1654774,0.71,703282,0.64,86602,0.83,73949,0.7,14822,0.9,845877,0.96,1909,0.53
07/04/2022,1608084,0.69,689986,0.63,85709,0.82,72464,0.68,10976,0.39,772949,0.87,2148,0.6
07/05/2022,2802814,0.53,1246208,0.6,169990,0.54,150170,0.53,22800,0.8,925869,0.96,5935,0.43
07/06/2022,3066462,0.58,1330990,0.64,173648,0.55,153543,0.54,25372,0.89,917894,0.95,6448,0.47
07/07/2022,3115604,0.59,1333373,0.64,173393,0.55,151105,0.53,25119,0.89,946553,0.98,6463,0.47
07/08/2022,2902322,0.55,1249434,0.6,163715,0.52,134620,0.48,24108,0.85,949529,0.99,5625,0.41
07/09/2022,2061419,0.73,885289,0.66,92765,0.73,89757,0.58,14546,0.92,917802,0.99,2563,0.5
07/10/2022,1681041,0.72,707984,0.65,82276,0.79,71195,0.67,14147,0.86,921110,1.04,2016,0.56
07/11/2022,2876587,0.54,1312895,0.63,167475,0.53,148113,0.52,23255,0.82,913992,0.95,6163,0.45
07/12/2022,3148320,0.6,1350346,0.65,180172,0.57,164494,0.58,24697,0.87,913137,0.95,6780,0.49
07/13/2022,3229387,0.61,1365172,0.66,178413,0.56,166187,0.59,25800,0.91,944299,0.98,6536,0.47
07/14/2022,3203104,0.61,1355975,0.65,174794,0.55,159599,0.56,25312,0.89,977841,1.02,6413,0.47
07/15/2022,3021651,0.57,1291217,0.62,171615,0.54,148858,0.53,24177,0.85,994183,1.03,5527,0.4
07/16/2022,2093206,0.74,859537,0.64,101758,0.8,98156,0.64,15226,0.96,939649,1.02,64,0.01
07/17/2022,1674922,0.72,701796,0.64,82028,0.78,80166,0.76,13868,0.84,900361,1.02,7,0
07/18/2022,2720012,0.52,1209240,0.58,162178,0.51,132779,0.47,22670,0.8,877737,0.91,5543,0.4
07/19/2022,3169016,0.6,1372407,0.66,180693,0.57,160294,0.57,24933,0.88,932398,0.97,6593,0.48
07/20/2022,3190942,0.6,1357383,0.66,180707,0.57,156988,0.55,25590,0.9,945289,0.98,6167,0.45
07/21/2022,3109097,0.59,1302978,0.63,173070,0.55,150414,0.53,24308,0.86,954280,0.99,6166,0.45
07/22/2022,2942752,0.56,1267907,0.61,174861,0.55,138068,0.49,23926,0.84,993037,1.03,5322,0.39
07/23/2022,2028696,0.72,862976,0.64,99341,0.78,86245,0.56,14503,0.91,945847,1.02,32,0.01
07/24/2022,1596195,0.68,674189,0.61,82656,0.79,68265,0.64,12751,0.77,908767,1.03,6,0
07/25/2022,2727722,0.52,1220826,0.59,163454,0.52,140432,0.5,22355,0.79,893016,0.93,5692,0.41
07/26/2022,3175001,0.6,1360570,0.66,186182,0.59,162994,0.58,24990,0.88,942025,0.98,6479,0.47
07/27/2022,3232796,0.61,1369023,0.66,185332,0.59,161241,0.57,25759,0.91,957557,1,6667,0.48
07/28/2022,3151913,0.6,1332113,0.64,173264,0.55,156936,0.55,24413,0.86,974290,1.01,6421,0.47
07/29/2022,2932846,0.56,1260714,0.61,166723,0.53,147568,0.52,23697,0.84,979719,1.02,5532,0.4
07/30/2022,2074421,0.73,893846,0.66,89426,0.7,96840,0.63,15068,0.95,954809,1.03,56,0.01
07/31/2022,1649097,0.71,693700,0.63,77991,0.74,78953,0.74,14046,0.85,929822,1.05,3,0
08/01/2022,2739262,0.53,1240007,0.61,151752,0.49,138431,0.51,22892,0.82,904119,0.93,5673,0.42
08/02/2022,3070101,0.6,1346324,0.67,173023,0.55,158236,0.58,24865,0.89,919127,0.95,6452,0.48
08/03/2022,3124038,0.61,1367848,0.68,173751,0.56,158305,0.58,26785,0.96,947338,0.97,6170,0.46
08/04/2022,3049076,0.59,1323229,0.66,174491,0.56,147770,0.54,25326,0.91,976459,1,5409,0.4
08/05/2022,2822155,0.55,1260961,0.62,161323,0.52,129376,0.47,23824,0.85,976443,1,4754,0.36
08/06/2022,1999580,0.68,865676,0.63,95704,0.72,84495,0.56,14893,0.9,944842,0.99,33,0.01
08/07/2022,1542311,0.65,670866,0.61,78449,0.75,66242,0.64,14367,0.8,882525,0.96,153,0.04
08/08/2022,2705428,0.53,1276524,0.63,165363,0.53,137457,0.5,22965,0.82,926426,0.95,5496,0.41
08/09/2022,3013784,0.59,1308034,0.65,173284,0.55,151624,0.56,25056,0.9,922400,0.95,5935,0.44
08/10/2022,3134434,0.61,1347916,0.67,178656,0.57,147931,0.54,26098,0.93,948711,0.98,6117,0.46
08/11/2022,3093548,0.6,1315101,0.65,171390,0.55,146019,0.54,25553,0.91,966856,0.99,5842,0.44
08/12/2022,2963913,0.58,1273620,0.63,175220,0.56,137578,0.5,24849,0.89,996504,1.03,5422,0.41
08/13/2022,2089217,0.71,878499,0.64,103227,0.77,89569,0.59,15889,0.96,953867,1,1632,0.35
08/14/2022,1677803,0.7,692644,0.63,88242,0.85,72900,0.7,14492,0.81,931953,1.01,1339,0.37
08/15/2022,2768347,0.54,1234308,0.61,161519,0.52,144170,0.53,23199,0.83,921408,0.95,5395,0.4
08/16/2022,3045892,0.59,1288800,0.64,173651,0.56,157888,0.58,24994,0.89,919835,0.95,6228,0.47
08/17/2022,3074027,0.6,1284966,0.64,172248,0.55,155815,0.57,25904,0.93,935484,0.96,6080,0.45
08/18/2022,3077928,0.6,1283965,0.64,181136,0.58,150643,0.55,25701,0.92,982598,1.01,5834,0.44
08/19/2022,2918737,0.57,1239929,0.61,164682,0.53,141791,0.52,24141,0.86,995590,1.02,5132,0.38
08/20/2022,2038622,0.69,875371,0.64,96552,0.72,97718,0.64,15903,0.96,952947,0.99,1699,0.36
08/21/2022,1619422,0.68,692309,0.63,84669,0.81,81666,0.79,14617,0.81,918196,1,1272,0.35
08/22/2022,2622885,0.51,1144254,0.57,160918,0.51,141482,0.52,21887,0.78,884589,0.91,5185,0.39
08/23/2022,2992615,0.58,1261782,0.63,173898,0.56,155953,0.57,24448,0.88,921483,0.95,5903,0.44
08/24/2022,3020710,0.59,1288092,0.64,177790,0.57,151169,0.55,25654,0.92,946975,0.97,6036,0.45
08/25/2022,3090901,0.6,1310134,0.65,177178,0.57,142659,0.52,24964,0.89,981024,1.01,6122,0.46
08/26/2022,2863653,0.56,1217448,0.6,171765,0.55,133306,0.49,23417,0.84,967932,1,4969,0.37
08/27/2022,2066542,0.7,874084,0.64,103192,0.77,90006,0.59,15575,0.94,977708,1.02,2214,0.47
08/28/2022,1651689,0.69,681823,0.62,86867,0.83,76296,0.73,14506,0.81,940460,1.02,1816,0.51
08/29/2022,2836374,0.55,1263000,0.63,180588,0.58,140540,0.52,22503,0.81,927114,0.95,5705,0.43
08/30/2022,3091873,0.6,1326293,0.66,195986,0.63,152025,0.56,24300,0.87,934163,0.96,6228,0.47
08/31/2022,3144027,0.61,1342568,0.67,197154,0.63,149499,0.55,25541,0.91,972327,1,6261,0.47
09/01/2022,3114667,0.54,1338287,0.58,186311,0.57,140082,0.49,25382,0.85,997846,1.05,6189,0.36
09/02/2022,2925306,0.51,1250956,0.54,185153,0.57,138009,0.48,24696,0.83,1006354,1.06,5307,0.31
09/03/2022,2116811,0.66,867750,0.62,116405,0.98,94997,0.62,15863,0.93,924383,0.97,2455,0.59
09/04/2022,1802349,0.71,701646,0.64,97728,0.98,77386,0.74,15428,0.9,901892,1.02,1894,0.65
09/05/2022,1691887,0.66,682671,0.62,93198,0.94,74585,0.71,9722,0.33,801463,0.91,1977,0.68
09/06/2022,3063503,0.53,1231759,0.53,190260,0.58,164255,0.57,24963,0.84,892569,0.94,6016,0.35
09/07/2022,3444556,0.6,1412342,0.61,203983,0.62,179628,0.62,26773,0.9,939358,0.99,6698,0.39
09/08/2022,3644407,0.63,1517502,0.65,199489,0.61,178788,0.62,27121,0.91,966189,1.01,7185,0.42
09/09/2022,3481756,0.6,1492297,0.64,189930,0.58,161197,0.56,25627,0.86,1009058,1.06,6432,0.38
09/10/2022,2356865,0.73,914744,0.65,103789,0.88,98043,0.64,15345,0.9,982329,1.03,1948,0.47
09/11/2022,1737251,0.68,659929,0.6,82638,0.83,72789,0.69,14467,0.84,862493,0.97,1275,0.44
09/12/2022,3382150,0.59,1519324,0.65,187548,0.57,163430,0.57,24947,0.84,925590,0.97,6863,0.4
09/13/2022,3618354,0.63,1557686,0.67,200171,0.61,180183,0.62,26317,0.89,921108,0.97,7552,0.44
09/14/2022,3741978,0.65,1590666,0.68,202713,0.62,181619,0.63,28124,0.95,954907,1,7740,0.45
09/15/2022,3747731,0.65,1573907,0.68,197284,0.6,175672,0.61,27391,0.92,981703,1.03,7725,0.45
09/16/2022,3502358,0.61,1501956,0.65,184424,0.56,155750,0.54,26025,0.88,1015255,1.07,6797,0.4
09/17/2022,2350888,0.73,916215,0.65,99403,0.84,101734,0.67,15828,0.92,971118,1.02,2693,0.65
09/18/2022,1844317,0.72,712161,0.65,86329,0.87,79158,0.75,15588,0.91,935291,1.06,1944,0.66
09/19/2022,3369999,0.58,1490926,0.64,187831,0.57,164392,0.57,24491,0.82,909943,0.96,7155,0.42
09/20/2022,3767024,0.65,1554448,0.67,203873,0.62,188771,0.65,26148,0.88,930442,0.98,7962,0.47
09/21/2022,3878782,0.67,1543632,0.66,204572,0.62,188361,0.65,27479,0.93,946181,0.99,8112,0.47
09/22/2022,3732919,0.65,1433737,0.62,190703,0.58,174952,0.61,26136,0.88,938754,0.99,7883,0.46
09/23/2022,3626482,0.63,1413234,0.61,190670,0.58,168866,0.59,25738,0.87,981726,1.03,6902,0.4
09/24/2022,2377091,0.74,860948,0.61,98192,0.83,115822,0.76,15593,0.91,944900,0.99,1975,0.48
09/25/2022,1759832,0.69,660871,0.6,81212,0.82,87366,0.83,14770,0.86,861534,0.97,1582,0.54
09/26/2022,2812853,0.49,1206954,0.52,177235,0.54,153930,0.53,21532,0.73,868980,0.91,5848,0.34
