Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day,Buses: Total Estimated Ridership,Buses: % of Comparable Pre-Pandemic Day,LIRR: Total Estimated Ridership,LIRR: % of Comparable Pre-Pandemic Day,Metro-North: Total Estimated Ridership,Metro-North: % of Comparable Pre-Pandemic Day,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % of Comparable Pre-Pandemic Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % of Comparable Pre-Pandemic Day,Staten Island Railway: Total Estimated Ridership,Staten Island Railway: % of Comparable Pre-Pandemic Day
06/29/2020,1100769,0.2,33264,0.02,63309,0.19,28163,0.1,14705,0.5,767165,0.78,2317,0.14
06/30/2020,1113124,0.2,33996,0.02,57955,0.17,27077,0.09,15291,0.52,758785,0.77,2386,0.15
07/01/2020,1120537,0.21,32921,0.02,56505,0.18,27770,0.1,16451,0.58,779409,0.81,2305,0.17
07/02/2020,1170483,0.22,32730,0.02,64261,0.2,31948,0.11,15981,0.56,881471,0.92,2365,0.17
07/03/2020,851877,0.36,16862,0.02,56181,0.54,32050,0.3,10915,0.38,713240,0.81,1138,0.32
07/04/2020,591605,0.21,10769,0.01,38388,0.3,22085,0.14,8391,0.53,569212,0.62,690,0.14
07/05/2020,533692,0.23,9832,0.01,34569,0.33,19137,0.18,6280,0.38,659099,0.75,528,0.15
07/06/2020,1084956,0.21,31548,0.02,63862,0.2,30557,0.11,14886,0.53,750584,0.78,2222,0.16
07/07/2020,1157185,0.22,33595,0.02,61756,0.2,30507,0.11,16003,0.56,749833,0.78,2403,0.17
07/08/2020,1172279,0.22,34242,0.02,63048,0.2,30174,0.11,16980,0.6,758208,0.79,2454,0.18
07/09/2020,1211280,0.23,34762,0.02,65483,0.21,31914,0.11,17017,0.6,818034,0.85,2571,0.19
07/10/2020,1030632,0.2,25544,0.01,55929,0.18,29683,0.1,15738,0.56,712635,0.74,2117,0.15
07/11/2020,692977,0.25,12872,0.01,30059,0.24,18684,0.12,8453,0.53,625288,0.68,812,0.16
07/12/2020,628187,0.27,10966,0.01,34905,0.33,19860,0.19,7395,0.45,703590,0.8,731,0.2
07/13/2020,1175700,0.22,33302,0.02,66384,0.21,31876,0.11,15928,0.56,756123,0.79,2504,0.18
07/14/2020,1241080,0.24,35391,0.02,66321,0.21,31922,0.11,17081,0.6,794838,0.83,2669,0.19
07/15/2020,1248413,0.24,34701,0.02,66549,0.21,32604,0.12,18149,0.64,803399,0.84,2751,0.2
07/16/2020,1249128,0.24,34199,0.02,66732,0.21,33259,0.12,17230,0.61,819850,0.85,2756,0.2
07/17/2020,1207265,0.23,29696,0.01,64806,0.2,35415,0.13,16401,0.58,819471,0.85,2427,0.18
07/18/2020,778936,0.28,14335,0.01,41235,0.32,24071,0.16,9785,0.62,747445,0.81,786,0.15
07/19/2020,584994,0.25,9845,0.01,36429,0.35,18675,0.18,7052,0.43,696110,0.79,504,0.14
07/20/2020,1156735,0.22,30196,0.01,67721,0.21,32280,0.11,15957,0.56,770607,0.8,2428,0.18
07/21/2020,1241819,0.24,32482,0.02,67594,0.21,33214,0.12,16831,0.59,792955,0.82,2725,0.2
07/22/2020,1233668,0.23,33863,0.02,65348,0.21,32486,0.11,17582,0.62,784013,0.82,2716,0.2
07/23/2020,1233795,0.23,33999,0.02,65637,0.21,32976,0.12,17056,0.6,791577,0.82,2632,0.19
07/24/2020,1218138,0.23,29987,0.01,65889,0.21,36640,0.13,17311,0.61,826030,0.86,2511,0.18
07/25/2020,816604,0.29,14777,0.01,43340,0.34,25173,0.16,10350,0.65,769898,0.83,799,0.16
07/26/2020,606910,0.26,9711,0.01,36164,0.35,20170,0.19,7429,0.45,697533,0.79,542,0.15
07/27/2020,1203503,0.23,32072,0.02,70114,0.22,31569,0.11,16607,0.59,793225,0.83,2626,0.19
07/28/2020,1241770,0.24,33753,0.02,66687,0.21,31678,0.11,16892,0.6,782226,0.81,2635,0.19
07/29/2020,1296102,0.25,35257,0.02,69995,0.22,33734,0.12,18216,0.64,816959,0.85,2778,0.2
07/30/2020,1270172,0.24,33982,0.02,68958,0.22,34123,0.12,17333,0.61,820275,0.85,2746,0.2
07/31/2020,1258539,0.24,29917,0.01,67648,0.21,38041,0.13,17654,0.62,859774,0.89,2429,0.18
08/01/2020,842468,0.29,16087,0.01,44405,0.33,26261,0.17,10685,0.64,799745,0.83,904,0.19
08/02/2020,590060,0.25,9874,0.01,30502,0.29,17886,0.17,7431,0.41,648735,0.7,615,0.17
08/03/2020,1272996,0.25,36945,0.02,70779,0.23,32884,0.12,17594,0.63,818732,0.84,2955,0.22
08/04/2020,1027187,0.2,29426,0.01,36835,0.12,22286,0.08,14924,0.53,577415,0.59,1499,0.11
08/05/2020,1348202,0.26,38283,0.02,58005,0.19,26598,0.1,18299,0.66,847330,0.87,2824,0.21
08/06/2020,1334694,0.26,37059,0.02,66671,0.21,28283,0.1,19117,0.68,847497,0.87,3125,0.23
08/07/2020,1283894,0.25,32170,0.02,65969,0.21,32882,0.12,17502,0.63,844097,0.87,2741,0.2
08/08/2020,833287,0.28,15143,0.01,41729,0.31,23514,0.15,10613,0.64,730739,0.76,806,0.17
